country,totalConfirmed,totalDeaths,totalRecovered,dailyConfirmed,dailyDeaths,activeCases,totalCritical,lastUpdated
Slovenia,25603,264,8968,0,0,16371,87,2020-10-28T04:35:00.000Z
Cameroon,21793,426,20117,0,0,1250,61,2020-10-28T04:35:00.000Z
Ivory Coast,20488,122,20229,0,0,137,0,2020-10-28T04:35:00.000Z
Albania,19729,487,10808,0,0,8434,20,2020-10-28T04:35:00.000Z
Norway,18666,280,11863,0,0,6523,7,2020-10-28T04:35:00.000Z
Montenegro,17091,275,13251,0,0,3565,26,2020-10-28T04:35:00.000Z
Madagascar,16968,244,16301,0,0,423,16,2020-10-28T04:35:00.000Z
Zambia,16243,348,15481,0,0,414,0,2020-10-28T04:35:00.000Z
Senegal,15571,322,14437,0,0,812,7,2020-10-28T04:35:00.000Z
Finland,15163,354,9800,0,0,5009,10,2020-10-28T04:35:00.000Z
Luxembourg,14884,147,9579,0,0,5158,16,2020-10-28T04:35:00.000Z
Sudan,13747,837,6764,0,0,6146,0,2020-10-28T04:35:00.000Z
Namibia,12729,133,10878,0,0,1718,2,2020-10-28T04:35:00.000Z
Mozambique,12273,89,9282,0,0,2902,0,2020-10-28T04:35:00.000Z
Guinea,11819,71,10505,0,0,1243,24,2020-10-28T04:35:00.000Z
Uganda,11621,103,7400,0,0,4118,0,2020-10-28T04:35:00.000Z
Maldives,11567,37,10652,0,0,878,12,2020-10-28T04:35:00.000Z
Lithuania,11362,141,4329,0,0,6892,32,2020-10-28T04:35:00.000Z
DRC,11191,305,10509,0,0,377,0,2020-10-28T04:35:00.000Z
Tajikistan,10860,81,10009,0,0,770,0,2020-10-28T04:35:00.000Z
French Guiana,10397,70,9995,0,0,332,3,2020-10-28T04:35:00.000Z
Angola,9871,271,3647,0,0,5953,45,2020-10-28T04:35:00.000Z
Haiti,9040,232,7411,0,0,1397,0,2020-10-28T04:35:00.000Z
Gabon,8937,54,8548,0,0,335,3,2020-10-28T04:35:00.000Z
Sri Lanka,8870,19,4043,0,0,4808,0,2020-10-28T04:35:00.000Z
Jamaica,8787,196,4347,0,0,4244,4,2020-10-28T04:35:00.000Z
Cabo Verde,8472,94,7599,0,0,779,23,2020-10-28T04:35:00.000Z
Zimbabwe,8315,242,7804,0,0,269,0,2020-10-28T04:35:00.000Z
Mauritania,7680,163,7392,0,0,125,3,2020-10-28T04:35:00.000Z
Guadeloupe,7474,115,2199,0,0,5160,35,2020-10-28T04:35:00.000Z
Cuba,6678,128,6051,0,0,499,5,2020-10-28T04:35:00.000Z
Bahamas,6502,136,4088,0,0,2278,8,2020-10-28T04:35:00.000Z
French Polynesia,6431,26,4090,0,0,2315,19,2020-10-28T04:35:00.000Z
Botswana,6283,21,4438,0,0,1824,1,2020-10-28T04:35:00.000Z
Malawi,5897,183,5299,0,0,415,4,2020-10-28T04:35:00.000Z
Eswatini,5875,116,5524,0,0,235,19,2020-10-28T04:35:00.000Z
Malta,5685,55,3715,0,0,1915,0,2020-10-28T04:35:00.000Z
Trinidad and Tobago,5568,106,4186,0,0,1276,14,2020-10-28T04:35:00.000Z
Djibouti,5544,61,5421,0,0,62,0,2020-10-28T04:35:00.000Z
Syria,5528,275,1821,0,0,3432,0,2020-10-28T04:35:00.000Z
Nicaragua,5514,156,4225,0,0,1133,0,2020-10-28T04:35:00.000Z
Réunion,5361,20,4630,0,0,711,10,2020-10-28T04:35:00.000Z
Hong Kong,5309,105,5053,0,0,151,11,2020-10-28T04:35:00.000Z
Suriname,5187,111,5039,0,0,37,4,2020-10-28T04:35:00.000Z
Rwanda,5084,35,4851,0,0,198,0,2020-10-28T04:35:00.000Z
Equatorial Guinea,5083,83,4964,0,0,36,1,2020-10-28T04:35:00.000Z
Latvia,4893,63,1382,0,0,3448,10,2020-10-28T04:35:00.000Z
CAR,4863,62,1924,0,0,2877,2,2020-10-28T04:35:00.000Z
Iceland,4574,11,3515,0,0,1048,3,2020-10-28T04:35:00.000Z
Estonia,4465,73,3561,0,0,831,3,2020-10-28T04:35:00.000Z
Aruba,4437,36,4253,0,0,148,4,2020-10-28T04:35:00.000Z
Andorra,4410,72,3029,0,0,1309,22,2020-10-28T04:35:00.000Z
Mayotte,4321,44,2964,0,0,1313,4,2020-10-28T04:35:00.000Z
Guyana,4061,119,3030,0,0,912,9,2020-10-28T04:35:00.000Z
